Location name,Amount spent (SEK)
Blekinge County,4229
Dalarna County,8711
Gotland County,2266
Gävleborg County,8641
Halland County,9167
Jämtland County,4430
Jönköping County,10764
Kalmar County,6559
Kronoberg County,4967
Norrbotten County,8014
Skåne County,39501
Stockholm County,69451
Södermanland County,8672
Unknown,≤100
Uppsala County,13896
Värmland County,8044
Västerbotten County,8834
Västernorrland County,7439
Västmanland County,7802
Västra Götaland County,53475
Örebro County,9283
Östergötland County,13261
