Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,466
Apurímac Region,140
Arequipa Region,493
Ayacucho Region,241
Cajamarca Region,418
Callao,233
Cusco Region,922
Huancavelica Region,≤100
Huánuco Region,220
Ica Region,362
Junín Region,409
La Libertad Region,659
Lambayeque Region,448
Lima Region,3698
Loreto Region,517
Madre de Dios Region,106
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,670
Puno Region,480
San Martín Region,340
Tacna Region,150
Tumbes Region,112
Ucayali Region,225
Unknown,≤100
