Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,61643,35
608975645850217,Vattenfall,Vattenfall Sverige,35055,38
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,22345,32
126567104406,Hyresgästföreningen,Hyresgästföreningen,17335,53
161213770567846,Operation Smile Sverige,Operation Smile Sverige,13855,4
111630258867610,Röda Korset,Röda Korset,11436,19
643137272398136,Sverige för UNHCR,Sverige för UNHCR,9433,42
59324455950,UNICEF Sverige,UNICEF Sverige,9077,32
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),5903,21
382243262003,Plan International Sverige,Plan International Sverige,5819,3
114262485262083,Konsumentverket,Konsumentverket,5447,3
239177706143268,Mobility Sweden,Mobility Sweden,5429,7
369582590803,Dagens ETC,ETC-tidningarna,5383,38
150057951690751,OKQ8,OKQ8,5052,10
130040890394815,Skånetrafiken,Skånetrafiken (Region Skåne),4573,4
72659261793,Rädda Barnen,Rädda Barnen,4398,59
162985227114132,Skellefteå Kraft,Skellefteå Kraft,4317,6
18880778360,ActionAid Sweden,ActionAid Sweden,3935,7
19746853632,Djurens Rätt,Djurens Rätt,3771,4
95735961890,Greenpeace Sverige,Greenpeace Sverige,3676,71
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,3464,38
104760926229060,Uppsala kommun,Uppsala kommun,3323,12
2337692372925538,Reformisterna,Reformisterna,3244,25
101341883359561,Matsmart Sverige,Matsmart,2937,3
109886133732943,RESCUE - Sverige,RESCUE - Sverige,2928,2
186513678039755,Fortum,Fortum Sverige,2922,22
24574889995,Charlie Weimers MEP,Charlie Weimers MEP,2781,2
133867976608,Naturskyddsföreningen,Naturskyddsföreningen,2751,14
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",2617,5
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,2279,39
576845979156129,Techarenan,Techarenan,2255,30
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,2252,25
440459709390224,Hitachi Energy,KSMG,2100,3
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,1976,6
117109165023455,Nordnet,Nordnet Bank AB,1645,2
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,1608,4
314872662206,Ekonomifakta,Ekonomifakta,1491,80
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,1441,9
115212521895994,Vattenfall Eldistribution AB,Vattenfall Eldistribution AB,1273,4
42676805259,Diakonia,Diakonia,1233,14
107898832590939,European Commission,European Commission,1215,4
237146235237,Timbro,Tankesmedjan Timbro,1201,41
8040892957,Socialdemokraterna,Socialdemokraterna,1089,7
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,1065,8
239855722130,Nyhetsmagasinet Fokus,Fokus,1059,13
153270724787,Amnesty International Sverige,Amnesty International Sverige,1038,36
61602439009,NCC,NCC,989,7
195379633820701,Svenskt Kött,Svenskt Kött,969,4
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,942,33
309283471958,Hyresgästföreningen Region Sydost,Hyresgästföreningen Region Sydost,940,34
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,912,29
118090278221826,Erikshjälpen,Erikshjälpen,892,4
103296115466644,Skattenytta,Kommissionen för Skattenytta,837,9
899603916845362,JAG Personlig assistans,JAG Personlig assistans,820,3
133681391993,Socialdemokraterna i Göteborg,Socialdemokraterna i Göteborg,818,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,805,3
343591900666,Gröna Lund,The Amazing Society,736,1
114736451897793,Socialdemokraterna i Södertälje,Socialdemokraterna i Södertälje,734,2
261455205686,LRF,LRF,726,4
1402657726653154,Hallå konsument,Konsumentverket,680,4
390479295816,Socialdemokraterna i Jönköpings län,Socialdemokraterna i Jönköpings län,662,5
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,655,24
122291934457124,Handelshögskolan vid Göteborgs universitet,Handelshögskolan vid Göteborgs universitet,649,3
1005361066218702,Norrtåg,Norrtåg,619,1
166406746310,Resumé,Resumé,593,2
100941935326134,RekonstruktionsGruppen,Rekonstruktionsgruppen Sverige AB,585,5
251829904829983,David Lega,David Lega - Kristdemokraterna,574,1
136869337238,Tidningen Dagen,Dagen,560,2
181590825305317,COWI Sverige,COWI Sverige,544,13
328754490337,Vårdförbundet,Vårdförbundet,540,30
183512318424647,Magdalena Andersson,Socialdemokraterna,539,2
175873745789190,Vänsterpartiet Göteborg,Vänsterpartiet Göteborg,533,12
171485892943500,Socialdemokraterna i Jönköping,Socialdemokraterna i Jönköpings kommun,524,3
120653037981614,Örebro universitet,Örebro universitet,500,2
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,497,18
153150404966,Moderaterna Skellefteå,Moderaterna Skellefteå,494,4
217391588404948,Katalys,Katalys,489,4
198547346848470,Vänsterpartiet Linköping,Holmberg Erik Dennis Tobias,483,2
175656912484553,Unionen,Unionen,474,12
188821514474911,Preem,Preem AB,467,2
226810677402741,Centerpartiet i Jönköpings län,Centerpartiet Jönköpings län,467,2
690167674732029,Lena Hallengren,Socialdemokraterna,458,2
212604496324,Fackförbundet ST,Fackförbundet ST,457,33
312084019369,Dagens Medicin,Dagens Medicin,446,1
167847649916608,Friends,Stiftelsen Friends,444,1
103065692733960,Öis,Skövde kommun,435,4
103312943103451,Jönköpings kommun,KSMG,419,1
203547006337155,Göteborgs Stadsmission,Göteborgs Stadsmission,416,3
1089666701084947,Timbro förlag,Timbro Förlag,414,3
356032977210,Vi-skogen,Vi-skogen,387,11
965458110149319,Byggindustrin,Byggindustrin,382,1
110406624703905,Katrin Stjernfeldt Jammeh,Socialdemokraterna i Malmö,377,3
1261907310611511,Segerstedtinstitutet vid Göteborgs universitet,Richard Millings,371,2
539297539496434,Dagens Samhälle,Dagens Samhälle,364,1
114782395316367,Socialdemokraterna i Västernorrland,Socialdemokraterna i Västernorrland,358,8
129016447116122,Aktuell Hållbarhet,Aktuell Hållbarhet,348,1
1729304067391998,Sverigedemokraterna Stockholm,SD Stockholm,346,1
234172635050,Forum för levande historia,Forum för levande historia,346,3
498767116802809,Vänsterpartiet Region Stockholm,Vänsterpartiet Region Stockholm,345,6
167036616661188,Sverigedemokraterna Malmö,Sverigedemokraterna Malmö,338,1
111842515680597,Hyresgästföreningen Norrland,Hyresgästföreningen,334,12
105345278410827,Frälsningsarméns sociala arbete,Frälsningsarmén,333,2
12690894340,Centerpartiet,Centerpartiet,325,8
296423575695,Afrikagrupperna,Afrikagrupperna,323,6
10150161538825010,Medborgarskolan,Medborgarskolan,322,2
505229989560231,Kristdemokraterna i Skåne,Kristdemokraterna i Skåne,306,2
273053169937029,ClimateHero,ClimateHero,305,6
115756055102646,Kura Omsorg  i Sverige AB,Kura Omsorg  i Sverige AB,296,2
473182566110689,Inre Kraft - Personlig Assistans & Hemtjänst,Inre Kraft - Personlig Assistans & Hemtjänst,292,2
129841741852473,Folkhälsodalen,Folkhälsodalen,290,6
1633181116933852,SvD Junior,SvD Junior (SvD),283,8
117109165023455,Nordnet,These ads ran without a disclaimer,275,1
180701415377239,Aktion Rädda Vättern,Aktion Rädda Vättern,274,1
233059080071059,Socialdemokraterna Sundbyberg,Socialdemokraterna i Sundbyberg,270,1
154887827868890,Sörmlands Sparbank,Sörmlands Sparbank,262,2
383511565045309,Region Värmland,Region Värmland,261,1
1495636290691848,Vänsterpartiet Stockholms stad,Vänsterpartiet Stockholm stad,249,5
450853258274653,Vänsterpartiet Halmstad,Vänsterpartiet Halmstad,243,3
178193355556765,Nordström Assistans AB,Nordström Assistans AB,243,2
143140665862271,Moderaterna Umeå,Moderata kretsen Umeå,239,2
176527602394716,Olivia Personlig Assistans AB,Olivia Personlig Assistans AB,239,2
119432911402994,Socialdemokraterna i Växjö,Socialdemokraterna Växjö,238,2
2002046333202650,Bli nämndeman,Bli nämndeman,229,8
147672065396607,Sverigedemokraterna Linköping,Dahlqvist Chris,227,1
312318652204361,Socialdemokraterna i Uppsala län,Socialdemokraterna i Uppsala län,219,2
169508586461,Vänsterpartiet Jönköping,Vänsterpartiet Jönköping,214,1
126245644082634,Malmömoderaterna,Malmömoderaterna,210,2
1042091032500520,Kvartal,Kvartal,210,4
271560012882635,Svenskt Näringsliv Västra Götaland,Svenskt Näringsliv Västra Götaland,207,8
709317875766999,Judisk Kultur i Sverige,Judisk Kultur i Sverige,206,1
103457111315098,Vänsterpartiet Örebro Kommun,Vänsterpartiet Örebro kommun,206,1
277520678945640,Svenskt Näringsliv Halland,Svenskt Näringsliv,203,7
111699453757094,Soft Towel Games,These ads ran without a disclaimer,197,3
120216874723147,Svenskt Sigill,Svenskt Sigill,195,17
