Location name,Amount spent (THB)
Amnat Charoen,120
Ang Thong,≤100
Ayutthaya,439
Bangkok,7604
Bueng Kan,145
Buriram,456
Chachoengsao,284
Chai Nat,≤100
Chaiyaphum,325
Chanthaburi,227
Chiang Mai,1207
Chiang Rai,381
Chon Buri,1174
Chumphon,262
Kalasin,281
Kamphaeng Phet,1084
Kanchanaburi,319
Khon Kaen,807
Krabi,339
Lampang,307
Lamphun,218
Loei,249
Lop Buri,291
Mae Hong Son,≤100
Maha Sarakham,320
Mukdahan,129
Nakhon Nayok,≤100
Nakhon Pathom,335
Nakhon Phanom,240
Nakhon Ratchasima,1059
Nakhon Sawan,366
Nakhon Si Thammarat,734
Nan,159
Narathiwat,322
Nong Bua Lam Phu,162
Nong Khai,224
Nonthaburi,714
Pathum Thani,526
Pattani,369
Phangnga,155
Phatthalung,210
Phayao,191
Phetchabun,305
Phetchaburi,495
Phichit,181
Phitsanulok,603
Phrae,166
Phuket,474
Prachin Buri,227
Prachuap Khiri Khan,212
Ranong,≤100
Ratchaburi,285
Rayong,540
Roi Et,362
Sa Kaeo,195
Sakon Nakhon,632
Samut Prakan,353
Samut Sakhon,289
Samut Songkhram,≤100
Saraburi,340
Satun,166
Sing Buri,≤100
Sisaket,426
Songkhla,2479
Sukhothai,316
Suphan Buri,283
Surat Thani,920
Surin,385
Tak,218
Trang,254
Trat,132
Ubon Ratchathani,666
Udon Thani,628
Unknown,≤100
Uthai Thani,126
Uttaradit,187
Yala Province,304
Yasothon,641
