Location name,Amount spent (NZD)
Auckland Region,3480
Bay of Plenty Region,785
Canterbury,1446
Gisborne District,101
Hawke's Bay,339
Manawatu-Wanganui,570
Marlborough Region,≤100
Nelson Province,139
Northland Region,403
Otago,417
Southland,212
Taranaki,236
Tasman District,≤100
Unknown,≤100
Waikato,960
Wellington Region,1961
West Coast,≤100
