Location name,Amount spent (MXN)
Aguascalientes,17399
Baja California,73263
Baja California Sur,14300
Campeche,51751
Chiapas,59754
Chihuahua,54958
Coahuila de Zaragoza,61501
Colima,13225
Distrito Federal,258585
Durango,20911
Guanajuato,104881
Guerrero,57220
Hidalgo,36096
Jalisco,156184
Michoacán de Ocampo,84430
Morelos,48032
Nayarit,16654
Nuevo León,209377
Oaxaca,81560
Puebla,119587
Querétaro Arteaga,47734
Quintana Roo,87278
San Luis Potosi,42828
Sinaloa,39439
Sonora,53998
State of Mexico,163427
Tabasco,40925
Tamaulipas,67859
Tlaxcala,17802
Unknown,≤100
Veracruz,94287
Yucatán,62815
Zacatecas,21951
