Location name,Amount spent (MXN)
Aguascalientes,11292
Baja California,22746
Baja California Sur,4065
Campeche,5269
Chiapas,16791
Chihuahua,20695
Coahuila de Zaragoza,98593
Colima,18028
Distrito Federal,126706
Durango,6268
Guanajuato,24318
Guerrero,10596
Hidalgo,14824
Jalisco,454120
Michoacán de Ocampo,29296
Morelos,24761
Nayarit,3330
Nuevo León,45356
Oaxaca,14466
Puebla,23470
Querétaro Arteaga,10703
Quintana Roo,22857
San Luis Potosi,9340
Sinaloa,9044
Sonora,11755
State of Mexico,252954
Tabasco,10687
Tamaulipas,21439
Tlaxcala,6480
Unknown,≤100
Veracruz,27253
Yucatán,23084
Zacatecas,5197
