Location name,Amount spent (MXN)
Aguascalientes,27404
Baja California,42893
Baja California Sur,12947
Campeche,28232
Chiapas,54014
Chihuahua,36615
Coahuila de Zaragoza,34907
Colima,10817
Distrito Federal,188765
Durango,14092
Guanajuato,65277
Guerrero,16599
Hidalgo,21216
Jalisco,71828
Michoacán de Ocampo,36190
Morelos,55538
Nayarit,9747
Nuevo León,345839
Oaxaca,27034
Puebla,69473
Querétaro Arteaga,36345
Quintana Roo,34607
San Luis Potosi,26588
Sinaloa,13087
Sonora,20527
State of Mexico,104283
Tabasco,15841
Tamaulipas,61200
Tlaxcala,7457
Unknown,≤100
Veracruz,43409
Yucatán,81935
Zacatecas,15449
