Location name,Amount spent (DKK)
Capital Region of Denmark,36435
Central Denmark Region,16377
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,6857
Region of Southern Denmark,16639
Unknown,≤100
Zealand Region,9667
