Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,541
Basra Governorate,103
Dhi Qar Governorate,104
Diyala Governorate,≤100
Dohuk Governorate,172
Erbil Governorate,444
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,140
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,189
Saladin Governorate,≤100
Sulaymaniyah Governorate,354
Unknown,≤100
Wasit Governorate,≤100
