Location name,Amount spent (EUR)
Alsace,862
Aquitaine,1275
Auvergne,417
Basse-Normandie,465
Bourgogne,484
Bretagne,1078
Centre,881
Champagne-Ardenne,415
Corse,142
Franche-Comté,344
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,820
Languedoc-Roussillon,1139
Limousin,228
Lorraine,1038
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1051
New Caledonia,≤100
Nord-Pas-de-Calais,1703
Pays de la Loire,1419
Picardie,602
Poitou-Charentes,581
Provence-Alpes-Côte d'Azur,2105
Reunion Island,≤100
Rhône-Alpes,2180
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4296
