Location name,Amount spent (PLN)
Greater Poland Voivodeship,3587
Kuyavian-Pomeranian Voivodeship,1860
Lesser Poland Voivodeship,3507
Lower Silesian Voivodeship,2858
Lublin Voivodeship,1570
Lubusz Voivodeship,892
Masovian Voivodeship,6188
Opole Voivodeship,692
Podkarpackie Voivodeship,1529
Podlaskie Voivodeship,755
Pomeranian Voivodeship,2752
Silesian Voivodeship,3763
Unknown,≤100
Warmian-Masurian Voivodeship,1195
West Pomeranian Voivodeship,1503
Łódź Voivodeship,2570
Świętokrzyskie Voivodeship,890
