Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,359
Cerro Largo Department,≤100
Colonia Department,531
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,1932
Montevideo Department,8630
Paysandú Department,7579
Rivera Department,101
Rocha Department,≤100
Río Negro Department,173
Salto Department,189
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
