Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
149388985089327,L'Oréal Paris,L’Oreal Polska Sp z o.o.,6081,20
178362315106,European Parliament,European Parliament,2839,7
100947022065093,Okresowa Koalicja,Okresowa Koalicja,2776,9
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),2351,7
102931488739,Platforma Obywatelska,Platforma Obywatelska,2086,10
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,1433,179
182038191908977,Ministerstwo Cyfryzacji,Kancelaria Prezesa Rady Ministrów,1271,11
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,1212,30
228168274881,wysokieobcasy,wysokieobcasy,898,14
57544755889,Amnesty International Polska,Amnesty International Polska,780,29
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,761,4
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,594,7
1227194230675141,Pratia,Pratia SA,565,10
405326618416,Parlament Europejski - Biuro w Polsce,Parlament Europejski - Biuro w Polsce,545,4
144808095552639,ING Polska,ING Polska,530,9
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,501,5
339855706171439,Dobra Fabryka,Dobra Fabryka,496,7
513969188677442,Compassion Polska,Compassion Polska,480,10
32104614789,Greenpeace Polska,Greenpeace Polska,452,2
578864425792499,Ośrodek Monitorowania Antypolonizmu,Fundacja Ośrodek Monitorowania Antypolonizmu,433,4
104623181081757,Budżet Obywatelski Mazowsza,Urząd Marszałkowski Województwa Mazowieckiego,429,21
108301418501661,Odszkodowania Za Represje 1944-1989,Odszkodowania Za Represje 1944-1989,424,3
353030510177,Centrum Nauki Kopernik,Centrum Nauki Kopernik,410,44
142210712522850,Województwo Podlaskie,Urząd Marszałkowski Województwa Podlaskiego,369,1
292640324174614,Hellozdrowie.pl,Redakcja Hello Zdrowie,355,4
283996612400,Fundacja Nasza Ziemia,Fundacja Nasza Ziemia,326,4
634178786679448,Aleksander Miszalski - Poseł na Sejm RP,Aleksander Miszalski - Poseł na Sejm RP,322,4
164968446888637,Ministerstwo Sprawiedliwości,Ministerstwo Sprawiedliwości,318,1
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,308,1
142361819657439,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,304,1
