Location name,Amount spent (TWD)
Changhua,14524
Chiayi,4277
Hsinchu,7762
Hsinchu City,10258
Hualien,4973
Kaohsiung,42098
Keelung City,5659
Kinmen,644
Lienchiang,≤100
Miaoli,7584
Nantou,5798
New Taipei City,66882
Penghu,961
Pingtung,9409
Taichung,47309
Tainan,27746
Taipei,47875
Taitung,3205
Taoyuan City,45418
Unknown,6583
Yilan,5253
Yunlin,8146
