Location name,Amount spent (VEF)
Amazonas,250000
Anzoátegui,7927944
Apure,1115475
Aragua,8899147
Barinas,3389104
Bolívar (state),5654934
Capital District,29219041
Carabobo,17470760
Cojedes,1005945
Delta Amacuro,287806
Falcón,3211919
Guárico,1644655
Lara,8971180
Miranda (state),8294857
Monagas,2035630
Mérida,4478405
Nueva Esparta,620243
Portuguesa,2070445
Sucre,1523304
Trujillo,1699132
Táchira,9921383
Unknown,≤100
Vargas,2615737
Yaracuy,2530812
Zulia,15243891
