Location name,Amount spent (COP)
Amazonas,1997
Antioquia,1743874
Arauca,21265
Atlantico,1020338
Bolivar,248597
Boyaca,115753
Caldas,165793
Caqueta,121650
Casanare,43015
Cauca,219124
Cesar,89376
Choco,28578
Cordoba,135930
Cundinamarca,506628
Distrito Especial,5098848
Guainia,1258
Guaviare,4769
Huila,270852
La Guajira,49652
Magdalena,169902
Meta,156982
Narino,163344
Norte de Santander,257388
Putumayo,25368
Quindio,89599
Risaralda,367872
San Andres y Providencia,6671
Santander,195157
Sucre,86745
Tolima,172120
Unknown,≤100
Valle del Cauca,2995793
Vaupes,511
Vichada,1353
