Location name,Amount spent (GTQ)
Alta Verapaz Department,905
Baja Verapaz Department,342
Chimaltenango Department,786
Chiquimula Department,548
El Progreso Department,280
Escuintla Department,1445
Guatemala Department,14922
Huehuetenango Department,1281
Izabal Department,919
Jalapa Department,368
Jutiapa Department,652
Petén Department,631
Quetzaltenango Department,1847
Quiché Department,886
Retalhuleu Department,627
Sacatepéquez Department,667
San Marcos Department,3570
Santa Rosa Department,550
Sololá Department,556
Suchitepéquez Department,848
Totonicapán Department,550
Unknown,≤100
Zacapa Department,1118
