Location name,Amount spent (PYG)
Alto Paraguay Department,69844
Alto Paraná Department,752114
Amambay Department,37314
Asunción,502097
Boquerón department,56118
Caaguazú Department,225261
Caazapá Department,83726
Canindeyú Department,38730
Central Department,1664796
Concepción Department (Paraguay),45752
Cordillera Department,67339
Guairá Department,65334
Itapúa Department,158009
Misiones Department,31777
Paraguarí Department,45878
Presidente Hayes Department,70301
San Pedro Department,64011
Unknown,≤100
Ñeembucú Department,36722
