Location name,Amount spent (JPY)
Aichi Prefecture,59127
Akita Prefecture,1709
Aomori Prefecture,1488
Chiba Prefecture,21662
Ehime Prefecture,1838
Fukui Prefecture,2799
Fukuoka Prefecture,45763
Fukushima Prefecture,2879
Gifu Prefecture,6352
Gunma Prefecture,5158
Hiroshima Prefecture,5381
Hokkaido,7895
Hyōgo Prefecture,21063
Ibaraki Prefecture,7192
Ishikawa Prefecture,4152
Iwate Prefecture,2260
Kagawa Prefecture,2217
Kagoshima Prefecture,4048
Kanagawa Prefecture,43756
Kumamoto Prefecture,3905
Kyoto Prefecture,11929
Kōchi Prefecture,1339
Mie Prefecture,5595
Miyagi Prefecture,10900
Miyazaki Prefecture,2510
Nagano Prefecture,3693
Nagasaki Prefecture,7892
Nara Prefecture,4200
Niigata Prefecture,5676
Okayama Prefecture,4566
Okinawa Prefecture,7151
Osaka Prefecture,92961
Saga Prefecture,3290
Saitama Prefecture,22001
Shiga Prefecture,4834
Shimane Prefecture,1518
Shizuoka Prefecture,11960
Tochigi Prefecture,4686
Tokushima Prefecture,1368
Tokyo,82240
Tottori Prefecture,1024
Toyama Prefecture,2608
Unknown,≤100
Wakayama Prefecture,2529
Yamagata Prefecture,1861
Yamaguchi Prefecture,2993
Yamanashi Prefecture,2110
Ōita Prefecture,2922
