Location name,Amount spent (COP)
Amazonas,2106
Antioquia,8421818
Arauca,19053
Atlantico,890860
Bolivar,240340
Boyaca,496027
Caldas,234303
Caqueta,143509
Casanare,151734
Cauca,262368
Cesar,272969
Choco,20541
Cordoba,380346
Cundinamarca,726901
Distrito Especial,2877061
Guainia,16009
Guaviare,13492
Huila,502689
La Guajira,34256
Magdalena,430541
Meta,501915
Narino,61668
Norte de Santander,1571166
Putumayo,167706
Quindio,91514
Risaralda,791183
San Andres y Providencia,4469
Santander,2063220
Sucre,229897
Tolima,119020
Unknown,197
Valle del Cauca,3314743
Vaupes,297
Vichada,1585
