Location name,Amount spent (DKK)
Capital Region of Denmark,38439
Central Denmark Region,19604
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8523
Region of Southern Denmark,19297
Unknown,≤100
Zealand Region,12035
