Location name,Amount spent (CAD)
Alberta,52251
British Columbia,9479
Manitoba,4629
New Brunswick,831
Newfoundland and Labrador,761
Northwest Territories,≤100
Nova Scotia,1389
Nunavut,≤100
Ontario,25738
Prince Edward Island,260
Quebec,13251
Saskatchewan,2694
Unknown,≤100
Yukon,≤100
