Location name,Amount spent (SEK)
Blekinge County,3702
Dalarna County,8007
Gotland County,1836
Gävleborg County,7750
Halland County,7948
Jämtland County,3615
Jönköping County,8336
Kalmar County,5577
Kronoberg County,4243
Norrbotten County,7714
Skåne County,35793
Stockholm County,66574
Södermanland County,7595
Unknown,≤100
Uppsala County,11155
Värmland County,6720
Västerbotten County,7837
Västernorrland County,7049
Västmanland County,7106
Västra Götaland County,51026
Örebro County,7619
Östergötland County,11302
