Location name,Amount spent (NOK)
Akershus,4406
Aust-Agder,808
Buskerud,1784
Finnmark,818
Hedmark,1591
Hordaland,4457
Møre og Romsdal,1874
Nord-Trøndelag,973
Nordland,2006
Oppland,1393
Oslo,11759
Rogaland,3731
Sogn og Fjordane,745
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,2552
Telemark,1386
Troms,1690
Unknown,≤100
Vest-Agder,1702
Vestfold,1711
Østfold,2721
