Location name,Amount spent (NGN)
Abia State,41851
Adamawa State,21484
Akwa Ibom State,28851
Anambra State,33704
Bauchi State,16719
Bayelsa State,5076
Benué State,19048
Borno State,17774
Cross River State,20800
Delta State,34861
Ebonyi State,6964
Edo State,26172
Ekiti State,5810
Enugu State,53926
Federal Capital Territory,71503
Gombe State,27913
Imo State,28429
Jigawa State,5299
Kaduna State,52055
Kano State,115599
Katsina State,15860
Kebbi State,5013
Kogi State,13300
Kwara State,14650
Lagos State,657432
Nasarawa State,10887
Niger State,19459
Ogun State,21998
Ondo State,10744
Osun State,12111
Oyo State,52017
Plateau State,70005
Rivers State,99624
Sokoto State,14021
Taraba State,11566
Unknown,≤100
Yobe State,6289
Zamfara State,6289
