Location name,Amount spent (USD)
Alabama,10865
Alaska,2240
American Samoa,≤100
Arizona,26864
Arkansas,6875
California,150515
Colorado,20797
Connecticut,11399
Delaware,3793
Florida,65716
Georgia,31408
Guam,≤100
Hawaii,3022
Idaho,4294
Illinois,31671
Indiana,17430
Iowa,8513
Kansas,7779
Kentucky,10468
Louisiana,17261
Maine,7202
Maryland,25158
Massachusetts,15818
Michigan,35921
Minnesota,19561
Mississippi,8311
Missouri,14844
Montana,8832
Nebraska,4375
Nevada,21555
New Hampshire,5810
New Jersey,33208
New Mexico,5832
New York,62651
North Carolina,34338
North Dakota,2052
Northern Mariana Islands,≤100
Ohio,37831
Oklahoma,10871
Oregon,12625
Pennsylvania,53360
Puerto Rico,≤100
Rhode Island,3746
South Carolina,17318
South Dakota,2088
Tennessee,18007
Texas,96421
Unknown,≤100
Utah,8035
Vermont,1378
Virgin Islands (U.S.),≤100
Virginia,38143
Washington,21440
"Washington, District of Columbia",10906
West Virginia,7698
Wisconsin,22264
Wyoming,1419
