Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,113
Apurímac Region,≤100
Arequipa Region,102
Ayacucho Region,≤100
Cajamarca Region,360
Callao,152
Cusco Region,246
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,296
Junín Region,≤100
La Libertad Region,1189
Lambayeque Region,≤100
Lima Region,962
Loreto Region,111
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,150
Puno Region,110
San Martín Region,162
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
