Location name,Amount spent (JPY)
Aichi Prefecture,22749
Akita Prefecture,1476
Aomori Prefecture,2144
Chiba Prefecture,22241
Ehime Prefecture,2576
Fukui Prefecture,1478
Fukuoka Prefecture,28892
Fukushima Prefecture,3813
Gifu Prefecture,4543
Gunma Prefecture,5678
Hiroshima Prefecture,7476
Hokkaido,16565
Hyōgo Prefecture,17159
Ibaraki Prefecture,6673
Ishikawa Prefecture,3084
Iwate Prefecture,2591
Kagawa Prefecture,2561
Kagoshima Prefecture,3387
Kanagawa Prefecture,44244
Kumamoto Prefecture,5205
Kyoto Prefecture,11859
Kōchi Prefecture,1136
Mie Prefecture,6844
Miyagi Prefecture,12883
Miyazaki Prefecture,2749
Nagano Prefecture,4881
Nagasaki Prefecture,3402
Nara Prefecture,3590
Niigata Prefecture,5920
Okayama Prefecture,4349
Okinawa Prefecture,4383
Osaka Prefecture,38280
Saga Prefecture,2208
Saitama Prefecture,20525
Shiga Prefecture,4835
Shimane Prefecture,1456
Shizuoka Prefecture,8981
Tochigi Prefecture,5096
Tokushima Prefecture,1389
Tokyo,66950
Tottori Prefecture,1108
Toyama Prefecture,2407
Unknown,104
Wakayama Prefecture,2258
Yamagata Prefecture,1763
Yamaguchi Prefecture,3257
Yamanashi Prefecture,3891
Ōita Prefecture,3858
