Location name,Amount spent (VEF)
Amazonas,15076
Anzoátegui,1101289
Apure,775472
Aragua,2014267
Barinas,1628107
Bolívar (state),1941287
Capital District,7256649
Carabobo,2505798
Cojedes,608598
Delta Amacuro,35087
Falcón,672432
Guárico,490426
Lara,1473567
Miranda (state),2074618
Monagas,965022
Mérida,1315254
Nueva Esparta,727346
Portuguesa,540030
Sucre,528969
Trujillo,120557
Táchira,2276320
Unknown,≤100
Vargas,577959
Yaracuy,815698
Zulia,29116326
