Location name,Amount spent (SEK)
Blekinge County,3136
Dalarna County,6240
Gotland County,1831
Gävleborg County,6157
Halland County,6645
Jämtland County,2952
Jönköping County,7436
Kalmar County,5195
Kronoberg County,3613
Norrbotten County,5047
Skåne County,27149
Stockholm County,58760
Södermanland County,6566
Unknown,≤100
Uppsala County,8606
Värmland County,6121
Västerbotten County,5471
Västernorrland County,4840
Västmanland County,5723
Västra Götaland County,38517
Örebro County,6760
Östergötland County,9414
