Location name,Amount spent (ZAR)
Eastern Cape,462
Free State,435
Gauteng,1870
KwaZulu-Natal,792
Limpopo,610
Mpumalanga,283
North West,218
Northern Cape,≤100
Unknown,≤100
Western Cape,2864
