Location name,Amount spent (CLP)
Antofagasta Region,84541
Araucanía Region,113118
Arica y Parinacota Region,66696
Atacama Region,37183
Aysén Region,10471
Bío Bío Region,235296
Coquimbo Region,126550
Los Lagos Region,105946
Los Ríos Region,50130
Magallanes y la Antártica Chilena Region,21724
Maule Region,128216
O'Higgins Region,125674
Santiago Metropolitan Region,1033498
Tarapacá Region,50600
Unknown,≤100
Valparaíso Region,209544
