Location name,Amount spent (USD)
Al Anbar Governorate,116
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,459
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,144
Erbil Governorate,360
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,139
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,107
Nineveh Governorate,177
Saladin Governorate,≤100
Sulaymaniyah Governorate,431
Unknown,≤100
Wasit Governorate,≤100
