Location name,Amount spent (USD)
Azuay Province,652
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,≤100
Cotopaxi Province,≤100
El Oro Province,493
Esmeraldas Province,253
Galápagos Province,≤100
Guayas Province,1955
Imbabura Province,119
Loja Province,143
Los Ríos Province,336
Manabí Province,856
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1186
Santa Elena Province,205
Santo Domingo de los Tsáchilas Province,910
Sucumbíos Province,≤100
Tungurahua Province,129
Unknown,≤100
Zamora-Chinchipe Province,≤100
