Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,270225
Apure,6275
Aragua,282775
Barinas,9572
Bolívar (state),20225
Capital District,361698
Carabobo,282775
Cojedes,36275
Delta Amacuro,≤100
Falcón,6513950
Guárico,6275
Lara,208999
Miranda (state),20225
Monagas,6275
Mérida,20225
Nueva Esparta,6275
Portuguesa,13950
Sucre,48775
Trujillo,13950
Táchira,12277900
Vargas,6275
Yaracuy,52550
Zulia,12541850
