Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
364916637463104,Unión por la Patria,Unión por la Patria,2189323,22
111663178651819,Hagamos el Cambio de Nuestras Vidas,Hagamos el Cambio de Nuestras Vidas,1837942,172
525334380868858,Martín Lousteau,Juntos por el Cambio - Capital Federal,1823946,78
101481752980291,Derecho al Futuro,Derecho al Futuro,1775105,11
102086362955693,Hacemos,Hacemos,1731301,55
116053261893854,Axel Kicillof,Unión por la Patria PBA,1457243,14
171330806277312,Diego Santilli,Juntos por el Cambio,1039510,125
106449905849575,Seguimos Haciendo,Seguimos Haciendo,910374,82
110767322072387,Levantemos Argentina,Levantemos Argentina,901249,35
958750317533178,Manuela Castañeira,Nuevo MAS,899754,28
108401558977853,Hacemos por Nuestro País,Hacemos por Nuestro País,854400,5
120527421023470,Despierta Chubut,Despierta Chubut,804973,15
57718951374,Jorge Macri,JUNTOS POR EL CAMBIO DISTRITO CAPITAL FEDERAL A. P. - ALIANZA,613604,25
174970176018,Horacio Rodríguez Larreta,Juntos por el Cambio,611866,464
100615406447198,Una Argentina Distinta,Una Argentina distinta,587071,22
113686738612,Gobierno de la Ciudad de Buenos Aires,Gobierno de la Ciudad de Buenos Aires,583942,46
206515872752040,Info-DINE,Secretaría de Medios y Comunicación Pública,558509,54
688001708286948,Juan Pablo Luque,Juan Pablo Luque,550626,24
117427451245540,Política Patagónica,Política Patagónica,516234,2
110329898759964,Proyecto Austral,Proyecto Austral,506249,22
342204343563,Lucas Ghi,Nuevo Encuentro por la Democracia y la Equidad,468836,8
896073793900056,Lalo Creus,Lalo Creus,318832,7
169481676449081,Adán Bahl,PJ Entre Ríos,310641,16
161768683835555,Municipio de La Matanza,Municipio de La Matanza,310070,3
610065179346397,NotiBaires,NotiBaires,309668,13
108679841853325,Contame Más,Contame Más,309211,71
1651324754987038,InfoAires,InfoAires,300952,16
513899261972162,Frente de Izquierda FIT,Frente de Izquierda,298996,38
675523912809682,Tiempo de Provincia,Tiempo de Provincia,295054,12
113440031817559,Unión por las Redes,Comunicación en Redes,285214,15
114046241738745,Derecho al Pasado,Derecho al pasado,253595,7
2251397431784810,InfoArgentina,InfoArgentina,248356,14
381739742002021,Leandro Santoro,Unión por la Ciudad,248344,22
1945555449050773,Frente Ciudadano,Frente Ciudadano,245009,6
1436040176529904,Noticias de Acá,Noticias de Acá,244760,10
103088924366000,Noticias d,Noticias d,244572,184
455934264436675,Rogelio Frigerio,Juntos por Entre Ríos,236479,32
1309393872434567,CFK Conducción,CFK Conducción,224807,4
110116998602195,Boletin No-Oficial,Boletín No Oficial,223396,57
248730858601074,Juan Andreotti,Frente Renovador San Fernando,210842,9
436246103621788,Damián Selci,Unidad Ciudadana Hurlingham - UCH,207262,35
110276628358382,El Autónomo,El Autónomo,202263,57
306607899838909,Sigamos yendo juntos San Isidro,Sigamos yendo juntos San Isidro,198176,3
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,187334,60
378374369659145,Zona Norte Noticias,Zona Norte Noticias,178209,12
353492111467605,Julio Garro,Julio Garro,175836,10
111669735076988,Hora Cero,Hora Cero Noticias,175822,39
1470809306572155,Armando Luis Gay,Más para Concordia,175408,46
103448546000915,LaMassaneta,LaMassaneta,169898,176
174545086044880,Gobierno de Santa Fe,Brote AD S.A.,169731,90
109104915512477,Argentina tiene con qué,Argentina tiene con qué,167020,2
20906273675,Greenpeace Argentina,Greenpeace Argentina,164451,2
106548558037239,Corte media.,Corte Media,156424,222
131381938371647,Corta La Bocha Noticias,Corta La Bocha,153731,40
107631983989726,Argentina Federal,Argentina Federal,152366,42
819240928422696,César Treffinger,Cesar Treffinger,147016,65
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,145407,10
105692982589443,No te Comas el Verso,No te comas el verso,144275,6
105716442346264,Conurnarnia,Conurnarnia,143397,30
101594852755793,El Bonaerense,El Bonaerense,142737,34
416391221875769,Ruben Manzi,Rubén Manzi,134928,9
699758330894365,Actualidad Argentina,Actualidad Argentina,133478,44
1525482941081445,Roxana Reyes,Roxana Reyes,133240,26
2021141788107491,Othar Macharashvili,Othar Macharashvili,133079,5
335926266503071,7D,7D,126441,9
305983009493637,Leonardo Grosso,Leonardo Grosso,124387,8
104158846077305,Ezequiel Atauche,Wamclick,121367,8
605540860101596,Diario Criollo,Diario Criollo,120145,38
111600998225620,Noticias Zero,Noticias Zero,119026,34
401817883222600,Walter Queijeiro - Quilmes,Walter Queijeiro - Quilmes,112383,10
139780689504552,Frente de Izquierda,Frente de Izquierda,110768,103
110806461830762,El Sol Web,El Sol Web,107805,29
260217841057049,Consultora Tendencias,Consultora Tendencias,107075,6
103846469204203,La Ola Noticias,La Ola Noticias,107060,25
104733589113258,La Gaceta Nacional,La Gaceta Nacional,106466,23
190516878133863,Guillermo Snopek,Guillermo Snopek,106442,5
205176889566970,Mauricio Longin D'Alessandro,Mauricio D'Alessandro,104498,7
101662834528956,Juan Grabois,Juan Grabois,93611,25
102858281496444,Argentinos hoy,Argentinos hoy,93176,4
546669442064267,Martiniano Molina,Martiniano Molina,93110,19
104147274759706,Periodismo de Izquierda,Periodismo de Izquierda,92393,11
521233434722803,Lucas Boyanovsky,Lucas Boyanovsky,91393,11
1489431047748717,Rolando Demaio,Rolando Demaio,90162,2
2321348041462779,Unión por la Patria San Fernando,Unión por la Patria San Fernando,89305,4
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,85969,56
641948702550925,Catamarca Gobierno,Gobierno de Catamarca,83037,34
110039918575012,Noticias Express,Noticias Express,83029,24
453418821422498,Fernanda Raverta,Encuentro Marplatense,81817,4
104046341137293,Panorama Pais,Panorama Pais,81639,2
100148663159546,Ciudadanos Unidos 2023,Ciudadanos Unidos 2023,81505,3
106560742263098,Noticias El Portal,Noticias El Portal,80258,22
100892362376539,Voces de Chubut,Voces de Chubut,79796,6
805670376206651,Ramón Lanús,Ramón Lanús,78586,15
100366448122794,Cristian Rodriguez.,Cristian Rodriguez.,77955,6
230534457651576,En nada estás vos,ComunicaciónPop,76584,4
811490865528770,Guillermo Viñuales,Guillermo Viñnuales,76274,12
112712841820696,Tigre Quiere Más,Tigre Quiere Mas,73452,17
102049972955059,Sergio Acevedo,Sergio Acevedo Santa Cruz,73398,24
175844725888213,Alejandro Bodart,MST Movimiento Socialista de los Trabajadores,72133,6
185922194792026,Myriam Bregman,Frente de Izquierda,70845,8
102534516011045,La Gloria Noticias,La Gloria Noticias,69895,16
113898744658728,El Progreso Web,El Progreso,69472,18
