Location name,Amount spent (INR)
Andaman and Nicobar Islands,1042
Andhra Pradesh,255946
Arunachal Pradesh,1845
Assam,23651
Bihar,47725
Chandigarh,3565
Chhattisgarh,23089
Dadra and Nagar Haveli,1888
Delhi,97456
Goa,5091
Gujarat,65400
Haryana,49074
Himachal Pradesh,14246
Jammu and Kashmir,8387
Jharkhand,19757
Karnataka,383398
Kerala,16735
Lakshadweep,≤100
Madhya Pradesh,62390
Maharashtra,228112
Manipur,1795
Meghalaya,2709
Mizoram,639
Nagaland,2011
Odisha,19544
Puducherry,1925
Punjab region,36971
Rajasthan,112466
Sikkim,647
Tamil Nadu,47489
Telangana,81874
Tripura,2955
Unknown,177
Uttar Pradesh,134378
Uttarakhand,12723
West Bengal,54494
