Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,544
Bicol Region,15493
Cagayan Valley,2478
Calabarzon,16773
Caraga,1340
Central Luzon,9308
Central Visayas,5636
Cordillera Administrative Region,1619
Davao Region,4043
Eastern Visayas,2209
Ilocos Region,4516
Metro Manila,41190
Mimaropa,2146
Northern Mindanao,4412
Soccsksargen,2816
Unknown,≤100
Western Visayas,8514
Zamboanga Peninsula,2636
