Page ID,Page name,Disclaimer,Amount spent (NZD),Number of ads in Library
337477311451,New Zealand Labour Party,NZ Parliamentary Service on behalf of New Zealand Labour Party,3384,53
106194579030381,Doctors Without Borders / Médecins Sans Frontières NZ,Doctors Without Borders / Médecins Sans Frontières NZ,1537,9
11870725774,Greenpeace Aotearoa,Greenpeace NZ,897,10
111699101849124,Ōu Huatau Hauora | Your Views On Health,Ministry of Health,786,26
183355881680015,New Zealand National Party,New Zealand National Party,652,58
116362033529,Amnesty International Aotearoa New Zealand,Amnesty International Aotearoa New Zealand,539,23
92043134118,ACT,the Parliamentary Service on behalf of ACT New Zealand,511,68
154331724631584,David Seymour,the Parliamentary Service on behalf of ACT New Zealand,411,18
6172127502,Vodafone New Zealand,Vodafone New Zealand,354,2
19648092895,Tearfund New Zealand,Tearfund New Zealand,270,15
173912362663564,Electoral Commission NZ,Electoral Commission NZ,197,5
175954932952,WWF New Zealand,WWF New Zealand,193,2
23625700722,Oxfam,Oxfam Aotearoa,184,40
165702023478421,Family First New Zealand,Family First New Zealand,146,1
417859725433,SAFE,Save Animals From Exploitation Incorperated,137,1
111449824668539,Humans of Family Court Aotearoa,Humans of Family Court Aotearoa,128,6
106234625226591,Today FM New Zealand,Today FM,116,2
451907931984042,Speak Up For Women NZ,Speak Up For Women NZ,≤100,1
110909661534199,The Common Room NZ,The Common Room NZ,≤100,2
1671535913101759,Entrust,Entrust New Zealand,≤100,8
105622742826296,City Vision,City Vision,≤100,2
1387513934903706,Auckland Ratepayers' Alliance,Auckland Ratepayers' Alliance,≤100,7
104411054853609,Mark Cameron - ACT List MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,30
100113565101028,Vanushi Walters MP,NZ Parliamentary Service on behalf of Vanushi Walters MP,≤100,1
104523225895525,Huihui Mai Greater Christchurch,Greater Christchurch Partnership,≤100,3
125292411482862,New Zealand Ministry of Foreign Affairs and Trade,New Zealand Ministry of Foreign Affairs and Trade,≤100,8
114731636915763,Simon Court MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
100272638114473,Tim Costley,Ōtaki National Party,≤100,1
100696438234003,Dale Stephens for Christchurch Central,Dale Aotea Stephens,≤100,1
689146908145006,Free Speech Union,Free Speech Union,≤100,2
182564675177680,Wellington City Council,Wellington City Council,≤100,2
123093944890778,Re: News,Re:,≤100,1
1281262645251755,Hobson's Pledge,Hobson's Pledge,≤100,2
197006887611387,Citizens Advice Bureau NZ,CABNZ,≤100,1
196967540964595,Mindful Money,Mindful Money,≤100,3
269047933236930,Horowhenua District Council,Horowhenua District Council,≤100,2
102354862041584,"It's time, Canterbury",Environment Canterbury,≤100,1
