Location name,Amount spent (COP)
Amazonas,1011
Antioquia,5026602
Arauca,8781
Atlantico,1143959
Bolivar,85570
Boyaca,52993
Caldas,226780
Caqueta,36004
Casanare,32476
Cauca,196156
Cesar,49264
Choco,55721
Cordoba,127009
Cundinamarca,412728
Distrito Especial,1158009
Guainia,894
Guaviare,9348
Huila,132005
La Guajira,17787
Magdalena,92445
Meta,430444
Narino,55867
Norte de Santander,371196
Putumayo,91448
Quindio,90926
Risaralda,386613
San Andres y Providencia,2332
Santander,265823
Sucre,55489
Tolima,355598
Unknown,184
Valle del Cauca,2267803
Vaupes,265
Vichada,408
