Location name,Amount spent (EUR)
Alsace,854
Aquitaine,1678
Auvergne,509
Basse-Normandie,569
Bourgogne,766
Bretagne,1365
Centre,1059
Champagne-Ardenne,513
Corse,205
Franche-Comté,431
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,848
Languedoc-Roussillon,1483
Limousin,302
Lorraine,1022
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1351
New Caledonia,≤100
Nord-Pas-de-Calais,1574
Pays de la Loire,1525
Picardie,718
Poitou-Charentes,774
Provence-Alpes-Côte d'Azur,3004
Reunion Island,278
Rhône-Alpes,3025
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,8877
