Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,1316
Bangkok,35618
Bueng Kan,≤100
Buriram,350
Chachoengsao,2513
Chai Nat,161
Chaiyaphum,213
Chanthaburi,365
Chiang Mai,3905
Chiang Rai,631
Chon Buri,16181
Chumphon,385
Kalasin,259
Kamphaeng Phet,1018
Kanchanaburi,702
Khon Kaen,592
Krabi,322
Lampang,258
Lamphun,252
Loei,156
Lop Buri,183
Mae Hong Son,300
Maha Sarakham,225
Mukdahan,130
Nakhon Nayok,≤100
Nakhon Pathom,3702
Nakhon Phanom,400
Nakhon Ratchasima,841
Nakhon Sawan,586
Nakhon Si Thammarat,1806
Nan,117
Narathiwat,159
Nong Bua Lam Phu,257
Nong Khai,134
Nonthaburi,1967
Pathum Thani,1957
Pattani,201
Phangnga,278
Phatthalung,381
Phayao,402
Phetchabun,319
Phetchaburi,219
Phichit,300
Phitsanulok,2756
Phrae,143
Phuket,3155
Prachin Buri,237
Prachuap Khiri Khan,321
Ranong,109
Ratchaburi,894
Rayong,998
Roi Et,255
Sa Kaeo,276
Sakon Nakhon,319
Samut Prakan,2401
Samut Sakhon,1029
Samut Songkhram,660
Saraburi,238
Satun,159
Sing Buri,≤100
Sisaket,323
Songkhla,3692
Sukhothai,340
Suphan Buri,482
Surat Thani,11870
Surin,320
Tak,182
Trang,313
Trat,≤100
Ubon Ratchathani,507
Udon Thani,363
Unknown,≤100
Uthai Thani,139
Uttaradit,145
Yala Province,185
Yasothon,140
