Location name,Amount spent (COP)
Amazonas,2534
Antioquia,5076031
Arauca,30913
Atlantico,916948
Bolivar,261252
Boyaca,357078
Caldas,311050
Caqueta,152046
Casanare,63644
Cauca,294078
Cesar,174137
Choco,36563
Cordoba,417212
Cundinamarca,333941
Distrito Especial,3176913
Guainia,14924
Guaviare,19168
Huila,700329
La Guajira,132891
Magdalena,347748
Meta,499472
Narino,130373
Norte de Santander,1240335
Putumayo,121302
Quindio,152901
Risaralda,1216166
San Andres y Providencia,9749
Santander,623737
Sucre,197361
Tolima,332340
Unknown,5933
Valle del Cauca,2765199
Vaupes,463
Vichada,1814
