Location name,Amount spent (PLN)
Greater Poland Voivodeship,3000
Kuyavian-Pomeranian Voivodeship,1937
Lesser Poland Voivodeship,3069
Lower Silesian Voivodeship,2163
Lublin Voivodeship,1227
Lubusz Voivodeship,636
Masovian Voivodeship,6186
Opole Voivodeship,566
Podkarpackie Voivodeship,1441
Podlaskie Voivodeship,734
Pomeranian Voivodeship,2106
Silesian Voivodeship,3798
Unknown,≤100
Warmian-Masurian Voivodeship,954
West Pomeranian Voivodeship,1292
Łódź Voivodeship,1871
Świętokrzyskie Voivodeship,741
