Location name,Amount spent (INR)
Andaman and Nicobar Islands,371
Andhra Pradesh,51768
Arunachal Pradesh,2317
Assam,32152
Bihar,90984
Chandigarh,4310
Chhattisgarh,20147
Dadra and Nagar Haveli,1451
Delhi,84753
Goa,3176
Gujarat,80038
Haryana,60867
Himachal Pradesh,16494
Jammu and Kashmir,18267
Jharkhand,25605
Karnataka,150211
Kerala,26259
Lakshadweep,≤100
Madhya Pradesh,68762
Maharashtra,198407
Manipur,4385
Meghalaya,129132
Mizoram,1464
Nagaland,1873
Odisha,24377
Puducherry,6227
Punjab region,56144
Rajasthan,104287
Sikkim,1734
Tamil Nadu,68339
Telangana,57466
Tripura,24473
Unknown,121
Uttar Pradesh,178746
Uttarakhand,22626
West Bengal,102069
