Location name,Amount spent (INR)
Andaman and Nicobar Islands,266
Andhra Pradesh,58099
Arunachal Pradesh,1799
Assam,18657
Bihar,49019
Chandigarh,2864
Chhattisgarh,124425
Dadra and Nagar Haveli,2101
Delhi,57434
Goa,3929
Gujarat,64283
Haryana,41706
Himachal Pradesh,12403
Jammu and Kashmir,10447
Jharkhand,22928
Karnataka,48436
Kerala,9670
Lakshadweep,≤100
Madhya Pradesh,140424
Maharashtra,183658
Manipur,527
Meghalaya,1613
Mizoram,2068
Nagaland,1430
Odisha,19015
Puducherry,1519
Punjab region,40925
Rajasthan,147364
Sikkim,1263
Tamil Nadu,29737
Telangana,70203
Tripura,2673
Unknown,142
Uttar Pradesh,150782
Uttarakhand,19899
West Bengal,55284
