Page ID,Page name,Disclaimer,Amount spent (AED),Number of ads in Library
193631434303282,Al Tayer Motors,Al Tayer Motors,800,2
339630283160450,Al Tayer Motors Land Rover UAE,Al Tayer Motors Land Rover UAE,701,4
100886642869705,Gulf Nеws,These ads ran without a disclaimer,206,1
1534982756793690,Foodvisor,These ads ran without a disclaimer,≤100,3
578129085690686,Ajman International Education & Training Exhibition,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,1
153887384672062,Doctors Without Borders / Médecins Sans Frontières,These ads ran without a disclaimer,≤100,1
106914145511790,Family Unit,These ads ran without a disclaimer,≤100,1
103387945862058,haverlysystems,These ads ran without a disclaimer,≤100,1
104303579154311,The Badil البديل,These ads ran without a disclaimer,≤100,1
101517766011216,S Is For Serial,These ads ran without a disclaimer,≤100,1
517231405008910,Global Landscapes Forum,These ads ran without a disclaimer,≤100,4
2276643792655926,Parallel Flight Technologies,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
106879367768789,Jessica Zang,These ads ran without a disclaimer,≤100,1
107439215578638,desenraizada,These ads ran without a disclaimer,≤100,1
112220134851421,Under the Sisterhood,These ads ran without a disclaimer,≤100,1
101707458611946,Ace Luxury Immigration Solutions,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,These ads ran without a disclaimer,≤100,2
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,1
106539755160512,Foodelicious,These ads ran without a disclaimer,≤100,2
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
106078201269224,JOBY,These ads ran without a disclaimer,≤100,3
102497746096944,WiN FUND,These ads ran without a disclaimer,≤100,1
136099883080345,Chocolate.com,These ads ran without a disclaimer,≤100,1
158816240880142,Houghton House Addiction & Mental Health Treatment Centres,These ads ran without a disclaimer,≤100,1
