Location name,Amount spent (USD)
Alabama,17572
Alaska,3386
American Samoa,≤100
Arizona,31844
Arkansas,10803
California,132568
Colorado,28216
Connecticut,11152
Delaware,3815
Florida,88923
Georgia,39525
Guam,≤100
Hawaii,4337
Idaho,6808
Illinois,44664
Indiana,24186
Iowa,17161
Kansas,12866
Kentucky,18847
Louisiana,24177
Maine,5387
Maryland,25467
Massachusetts,23713
Michigan,41828
Minnesota,27786
Mississippi,14179
Missouri,22247
Montana,5235
Nebraska,6487
Nevada,15338
New Hampshire,6298
New Jersey,41026
New Mexico,8027
New York,73797
North Carolina,41206
North Dakota,2160
Northern Mariana Islands,≤100
Ohio,78018
Oklahoma,16667
Oregon,15904
Pennsylvania,54326
Puerto Rico,≤100
Rhode Island,4201
South Carolina,21403
South Dakota,2414
Tennessee,34227
Texas,117370
Unknown,116
Utah,11811
Vermont,2045
Virgin Islands (U.S.),≤100
Virginia,37437
Washington,28311
"Washington, District of Columbia",17678
West Virginia,8294
Wisconsin,23170
Wyoming,1920
