Location name,Amount spent (LBP)
Beirut Governorate,2422872
Beqaa Governorate,780733
Mount Lebanon Governorate,1721118
Nabatieh Governorate,346151
North Governorate,1227336
South Governorate,589156
Unknown,≤100
