Location name,Amount spent (DKK)
Capital Region of Denmark,27158
Central Denmark Region,12350
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,5552
Region of Southern Denmark,12537
Unknown,≤100
Zealand Region,7747
