Location name,Amount spent (MYR)
Johor,402
Kedah,300
Kelantan,247
Kuala Lumpur,630
Labuan,≤100
Malacca,132
Negeri Sembilan,178
Pahang,824
Penang,220
Perak,301
Perlis,≤100
Putrajaya,≤100
Sabah,302
Sarawak,240
Selangor,1094
Terengganu,289
Unknown,≤100
