Location name,Amount spent (PLN)
Greater Poland Voivodeship,4207
Kuyavian-Pomeranian Voivodeship,2593
Lesser Poland Voivodeship,3662
Lower Silesian Voivodeship,3788
Lublin Voivodeship,1709
Lubusz Voivodeship,1005
Masovian Voivodeship,8536
Opole Voivodeship,895
Podkarpackie Voivodeship,1387
Podlaskie Voivodeship,1603
Pomeranian Voivodeship,3088
Silesian Voivodeship,3963
Unknown,≤100
Warmian-Masurian Voivodeship,1174
West Pomeranian Voivodeship,1650
Łódź Voivodeship,2497
Świętokrzyskie Voivodeship,1013
