Location name,Amount spent (MXN)
Aguascalientes,8656
Baja California,83741
Baja California Sur,9118
Campeche,13809
Chiapas,19176
Chihuahua,60308
Coahuila de Zaragoza,286802
Colima,5991
Distrito Federal,162855
Durango,9843
Guanajuato,36776
Guerrero,10803
Hidalgo,11404
Jalisco,137796
Michoacán de Ocampo,44851
Morelos,16191
Nayarit,5956
Nuevo León,95004
Oaxaca,19574
Puebla,42627
Querétaro Arteaga,19355
Quintana Roo,51995
San Luis Potosi,17138
Sinaloa,12448
Sonora,30051
State of Mexico,431457
Tabasco,27103
Tamaulipas,50986
Tlaxcala,4549
Unknown,≤100
Veracruz,34687
Yucatán,25791
Zacatecas,7720
