Location name,Amount spent (GTQ)
Alta Verapaz Department,1639
Baja Verapaz Department,778
Chimaltenango Department,2181
Chiquimula Department,1617
El Progreso Department,736
Escuintla Department,3333
Guatemala Department,34416
Huehuetenango Department,2585
Izabal Department,2613
Jalapa Department,987
Jutiapa Department,2332
Petén Department,1502
Quetzaltenango Department,4408
Quiché Department,1863
Retalhuleu Department,1166
Sacatepéquez Department,2380
San Marcos Department,5685
Santa Rosa Department,1056
Sololá Department,1531
Suchitepéquez Department,1789
Totonicapán Department,1255
Unknown,≤100
Zacapa Department,637
