Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
130929705668,Municipalidad de Córdoba,Municipalidad de Córdoba,1489314,57
110568602036048,Córdoba La Número 1,Córdoba La Número 1,483996,6
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,477205,168
116710934724411,Defendamos la Provincia,Defendamos la Provincia,319272,3
100151736415392,Cordobalanumerouno,Cordoba la número 1,212628,14
129799846687423,Levantémonos,Levantemonos,200168,96
100151736415392,Cordobalanumerouno,Cordoba la número uno,193907,4
108662685562965,La Ciudad Necesita Orden,La Ciudad Necesita Orden,184634,12
113902874399198,La Provincia Hoy,La Provincia Hoy,165415,23
813606588771959,CPC Ruta 20 Municba,municipalidad de córdoba,138470,5
260217841057049,Consultora Tendencias,Consultora Tendencias,135372,62
109586108797973,Futuro Argentino,Futuro Argentino,129761,37
110079031997390,Con Larreta,Con Larreta,120262,111
622853724492420,Federico Otermín,Frente de Todos Lomas,91778,2
1418780111682690,Marcos Cleri,Marcos Cleri,89709,31
147255748694051,Fernando Espinoza,Municipio de La Matanza,73649,29
641948702550925,Catamarca Gobierno,Gobierno de Catamarca,73358,11
148539931942743,Rodrigo de Loredo,Rodrigo de Loredo,71285,18
105933872199149,Demos Vuelta La Argentina,Demos Vuelta la Argentina,66064,7
113686738612,Gobierno de la Ciudad de Buenos Aires,Gobierno de la Ciudad de Buenos Aires,64072,18
212404205842351,CPC Rancagua MuniCba,municipalidad de córdoba,60963,5
103088924366000,Noticias d,Noticias d,59085,227
958750317533178,Manuela Castañeira,Nuevo MAS,57037,13
192108560832888,Luis Petri,Luis Petri,52086,13
525334380868858,Martín Lousteau,Fundación Lebensohn,48128,3
101071765631320,Diario UNO SJ,Diario UNO SJ,44818,4
109104915512477,Argentina tiene con qué,Argentina tiene con qué,44414,2
2145251785736481,Fernando Rambaldi,Fernando Rambaldi,43154,13
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,41856,8
109029088772667,Todo Zona Norte,Todo Zona Norte,41256,3
391359140978849,Carolina Losada,Carolina Losada,40555,4
123120957430866,Cuarto Oscuro Santa Fe,Cuarto Oscuro Santa Fé,40537,8
434557003334061,Municipalidad del Pilar,Municipalidad del Pilar,35542,12
149721655226597,Oscar Cachi Martinez,Oscar Martínez,35497,1
947520791967929,Claudio Poggi,Claudio Poggi,34922,8
265302760230039,Enrique Ponce,Enrique Ponce,33511,3
113395874909201,Punto Noticias,Punto Noticias Web,33472,15
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,33160,46
1662250880709156,Lanús Municipio,Lanús Municipio,33127,6
746367662125053,Damian Contreras,Damian Contreras,32957,4
112049281793676,Luis Giraudo,Luis Giraudo,32701,6
513899261972162,Frente de Izquierda FIT,Frente de Izquierda,30962,23
