Location name,Amount spent (SEK)
Blekinge County,3145
Dalarna County,6656
Gotland County,1505
Gävleborg County,6835
Halland County,6512
Jämtland County,3084
Jönköping County,8391
Kalmar County,4775
Kronoberg County,3665
Norrbotten County,7281
Skåne County,32435
Stockholm County,59294
Södermanland County,6431
Unknown,≤100
Uppsala County,9883
Värmland County,5536
Västerbotten County,7094
Västernorrland County,5937
Västmanland County,7119
Västra Götaland County,37104
Örebro County,7355
Östergötland County,11002
