Location name,Amount spent (LBP)
Beirut Governorate,3044776
Beqaa Governorate,970149
Mount Lebanon Governorate,1884031
Nabatieh Governorate,358209
North Governorate,1716418
South Governorate,608060
Unknown,≤100
