Location name,Amount spent (USD)
Alabama,17502
Alaska,3519
American Samoa,≤100
Arizona,35420
Arkansas,11586
California,147463
Colorado,27714
Connecticut,12378
Delaware,4077
Florida,94818
Georgia,38669
Guam,≤100
Hawaii,4956
Idaho,7308
Illinois,47087
Indiana,26320
Iowa,17094
Kansas,13781
Kentucky,19947
Louisiana,22649
Maine,6336
Maryland,27655
Massachusetts,25196
Michigan,42353
Minnesota,28199
Mississippi,16193
Missouri,23519
Montana,5540
Nebraska,7164
Nevada,16239
New Hampshire,6484
New Jersey,42709
New Mexico,8177
New York,77337
North Carolina,48980
North Dakota,2294
Northern Mariana Islands,≤100
Ohio,88862
Oklahoma,16723
Oregon,15646
Pennsylvania,60782
Puerto Rico,≤100
Rhode Island,4481
South Carolina,23178
South Dakota,2482
Tennessee,36379
Texas,124008
Unknown,123
Utah,11458
Vermont,2246
Virgin Islands (U.S.),≤100
Virginia,39319
Washington,29781
"Washington, District of Columbia",17216
West Virginia,8796
Wisconsin,23823
Wyoming,2326
