Location name,Amount spent (SEK)
Blekinge County,3988
Dalarna County,7491
Gotland County,1683
Gävleborg County,8676
Halland County,7256
Jämtland County,4128
Jönköping County,9519
Kalmar County,5579
Kronoberg County,4893
Norrbotten County,6950
Skåne County,37218
Stockholm County,66761
Södermanland County,7687
Unknown,≤100
Uppsala County,11933
Värmland County,6846
Västerbotten County,7931
Västernorrland County,6602
Västmanland County,7915
Västra Götaland County,46296
Örebro County,8532
Östergötland County,12796
