Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,383
Bangkok,13759
Bueng Kan,≤100
Buriram,232
Chachoengsao,149
Chai Nat,312
Chaiyaphum,163
Chanthaburi,898
Chiang Mai,862
Chiang Rai,380
Chon Buri,694
Chumphon,382
Kalasin,155
Kamphaeng Phet,127
Kanchanaburi,194
Khon Kaen,299
Krabi,254
Lampang,156
Lamphun,271
Loei,103
Lop Buri,117
Mae Hong Son,271
Maha Sarakham,198
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,228
Nakhon Phanom,1061
Nakhon Ratchasima,458
Nakhon Sawan,818
Nakhon Si Thammarat,1859
Nan,≤100
Narathiwat,123
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,465
Pathum Thani,599
Pattani,425
Phangnga,187
Phatthalung,524
Phayao,418
Phetchabun,141
Phetchaburi,197
Phichit,195
Phitsanulok,2399
Phrae,≤100
Phuket,2104
Prachin Buri,104
Prachuap Khiri Khan,237
Ranong,≤100
Ratchaburi,335
Rayong,233
Roi Et,213
Sa Kaeo,≤100
Sakon Nakhon,301
Samut Prakan,538
Samut Sakhon,907
Samut Songkhram,544
Saraburi,141
Satun,318
Sing Buri,≤100
Sisaket,222
Songkhla,3681
Sukhothai,105
Suphan Buri,224
Surat Thani,6331
Surin,466
Tak,120
Trang,200
Trat,≤100
Ubon Ratchathani,345
Udon Thani,260
Unknown,≤100
Uthai Thani,166
Uttaradit,≤100
Yala Province,139
Yasothon,269
