Location name,Amount spent (GTQ)
Alta Verapaz Department,295
Baja Verapaz Department,≤100
Chimaltenango Department,≤100
Chiquimula Department,214
El Progreso Department,117
Escuintla Department,209
Guatemala Department,3843
Huehuetenango Department,122
Izabal Department,≤100
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,194
Quiché Department,≤100
Retalhuleu Department,111
Sacatepéquez Department,115
San Marcos Department,291
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,429
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
