Location name,Amount spent (DKK)
Capital Region of Denmark,58100
Central Denmark Region,34801
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,14062
Region of Southern Denmark,29251
Unknown,≤100
Zealand Region,19894
