Location name,Amount spent (RON)
Alba County,364
Arad County,532
Argeș County,835
Bacău County,670
Bihor County,619
Bistrița-Năsăud County,334
Botoșani County,361
Brașov County,612
Brăila County,357
Bucharest,3113
Buzău County,456
Caraș-Severin County,276
Cluj County,1279
Constanța County,921
Covasna County,241
Călărași County,236
Dolj County,691
Dâmbovița County,579
Galați County,676
Giurgiu County,217
Gorj County,373
Harghita County,399
Hunedoara County,423
Ialomița County,213
Iași County,1000
Ilfov County,472
Maramureș County,513
Mehedinți County,272
Mureș County,676
Neamț County,571
Olt County,324
Prahova County,750
Satu Mare County,391
Sibiu County,440
Suceava County,602
Sălaj County,322
Teleorman County,273
Timiș County,855
Tulcea County,201
Unknown,≤100
Vaslui County,379
Vrancea County,468
Vâlcea County,548
